(array([0.95388423, 3.02623318]), 0.004396113851650085)
(array([0.99908238, 3.00012905]), 3.3460495769480616e-06)
(array([1.00002093, 2.9999564 ]), 4.3938700822717066e-09)
(array([1.00000246, 2.99999336]), 1.2023340924545983e-10)
(array([1.00000035, 2.99999961]), 2.844034227115767e-13)
(array([1., 3.]), 7.599191752763452e-18)
(array([1., 3.]), 2.369530508132133e-17)
(array([1., 3.]), 4.917839410068993e-22)
(array([1., 3.]), 1.2315522902911288e-23)
(array([1., 3.]), 1.2549199280255856e-25)
(array([1., 3.]), 0.0)
